Customer_ID,Name,DOB,DL_Number,Aadhaar_Number,Age,Door_No,Street,City,State,Country,Credit_Score,Risk_Profile,Claims_History,SRC_TRANSACTION_DATE
C0001,Jamie Bell,1972-01-25,227272,662282154096,74,779,267 Roy Landing Suite 168,Floresside,KY 72134,India,803,Low,2,2024-12-03
C0002,Carrie Nicholson,1990-02-19,746082,814740195173,66,809,754 Javier Creek Apt. 084,East John,VI 14302,India,602,High,0,2024-10-27
C0003,Michelle Davis,1949-02-19,340792,312860089533,47,335,9524 Eric Shores,Dylanborough,PR 92228,India,651,Medium,5,2023-05-09
C0004,Sarah Webb,1963-05-20,920503,746863388159,58,274,31593 Jasmine Underpass Apt. 093,Port Gavin,IA 45590,India,765,High,0,2024-02-22
C0005,Angelica Rivera,1965-08-06,566788,982130250187,19,269,224 Sosa Ford Suite 920,North Debra,VT 85807,India,693,High,3,2023-08-22
C0006,Amber Martinez,1983-09-13,487721,202073966382,42,631,968 Catherine Vista Apt. 959,Carolland,KY 80805,India,798,Low,0,2024-11-12
C0007,Virginia Mccall,1985-05-18,518044,955242623300,76,210,01054 Ernest Keys Apt. 000,Samanthabury,MD 34083,India,660,Low,1,2024-09-21
C0008,David Gonzalez,1965-12-01,218829,198003226295,52,390,42931 Jose Summit Apt. 038,Walterland,KS 03599,India,824,Low,4,2023-06-06
C0009,Karen Torres,1966-05-30,521551,222424649630,80,746,0178 Parsons Dam,North Cassandraborough,WI 24123,India,667,High,5,2025-02-15
C0010,David Lynn,1984-03-24,531372,954405948457,72,635,475 French Club,Jamieton,IL 62413,India,756,Medium,0,2025-04-06
C0011,Kenneth Martinez,1959-03-29,757661,481455714051,64,556,94520 Colton Park Suite 439,Mejiastad,CT 30973,India,674,Low,4,2024-05-22
C0012,Tina Page PhD,1986-08-24,572802,366376527072,30,1,7433 Cassandra Orchard Apt. 377,Maldonadoshire,TX 63144,India,820,Low,5,2024-02-08
C0013,Michael Rodriguez,2000-10-12,358683,262581370783,71,224,7876 Hanson Terrace,Lewismouth,VT 19286,India,814,High,2,2025-02-08
C0014,Connor Hooper,1992-06-09,436091,458855172912,67,692,971 Jennifer Place,Baileyville,WV 17509,India,797,Medium,1,2023-08-11
C0015,Cynthia Reese,1992-01-04,865156,686864439207,77,595,0131 Kevin Walk,Knappshire,ME 88135,India,600,High,1,2024-09-13
C0016,William Smith MD,1947-09-09,935125,359714098379,52,924,99604 Ashley Ranch Suite 547,Port Carolyn,HI 75615,India,749,Low,0,2025-01-14
C0017,Kelly Monroe,1972-05-17,498153,245529643445,77,265,"PSC 8630, Box 8334",APO AE 17439,Unknown,India,809,Low,3,2023-11-20
